"","X","did_purchase","ratings","recommendation","Real_Review"
"314",17547,FALSE,3,FALSE,"Fake Don't Recommand"
"315",17549,FALSE,3,FALSE,"Fake Don't Recommand"
"316",17552,FALSE,3,FALSE,"Fake Don't Recommand"
"317",17555,FALSE,3,FALSE,"Fake Don't Recommand"
"318",17650,FALSE,5,FALSE,"Fake Don't Recommand"
"319",17740,FALSE,1,FALSE,"Fake Don't Recommand"
"320",17804,FALSE,1,FALSE,"Fake Don't Recommand"
"321",17805,FALSE,1,FALSE,"Fake Don't Recommand"
"322",17806,FALSE,1,FALSE,"Fake Don't Recommand"
"323",17807,FALSE,1,FALSE,"Fake Don't Recommand"
"324",17808,FALSE,2,FALSE,"Fake Don't Recommand"
"325",17809,FALSE,2,FALSE,"Fake Don't Recommand"
"326",17811,FALSE,3,FALSE,"Fake Don't Recommand"
"327",17812,FALSE,3,FALSE,"Fake Don't Recommand"
"328",17813,FALSE,3,FALSE,"Fake Don't Recommand"
"329",17815,FALSE,3,FALSE,"Fake Don't Recommand"
"330",18024,FALSE,1,FALSE,"Fake Don't Recommand"
"331",18025,FALSE,1,FALSE,"Fake Don't Recommand"
"332",18069,FALSE,1,FALSE,"Fake Don't Recommand"
"333",18093,FALSE,1,FALSE,"Fake Don't Recommand"
"334",18095,FALSE,2,FALSE,"Fake Don't Recommand"
"335",18098,FALSE,3,FALSE,"Fake Don't Recommand"
"336",18254,FALSE,2,FALSE,"Fake Don't Recommand"
"337",18420,FALSE,5,FALSE,"Fake Don't Recommand"
"338",18424,FALSE,1,FALSE,"Fake Don't Recommand"
"339",18437,FALSE,1,FALSE,"Fake Don't Recommand"
"340",18438,FALSE,1,FALSE,"Fake Don't Recommand"
"341",18516,FALSE,1,FALSE,"Fake Don't Recommand"
"342",18526,FALSE,1,FALSE,"Fake Don't Recommand"
"343",18640,FALSE,1,FALSE,"Fake Don't Recommand"
"344",18641,FALSE,1,FALSE,"Fake Don't Recommand"
"345",18642,FALSE,1,FALSE,"Fake Don't Recommand"
"346",18643,FALSE,1,FALSE,"Fake Don't Recommand"
"347",18644,FALSE,1,FALSE,"Fake Don't Recommand"
"348",18645,FALSE,1,FALSE,"Fake Don't Recommand"
"349",18646,FALSE,1,FALSE,"Fake Don't Recommand"
"350",18649,FALSE,2,FALSE,"Fake Don't Recommand"
"351",18650,FALSE,3,FALSE,"Fake Don't Recommand"
"352",18661,FALSE,5,FALSE,"Fake Don't Recommand"
"353",18788,FALSE,1,FALSE,"Fake Don't Recommand"
"354",18789,FALSE,1,FALSE,"Fake Don't Recommand"
"355",18790,FALSE,1,FALSE,"Fake Don't Recommand"
"356",18791,FALSE,1,FALSE,"Fake Don't Recommand"
"357",18792,FALSE,1,FALSE,"Fake Don't Recommand"
"358",18793,FALSE,1,FALSE,"Fake Don't Recommand"
"359",18794,FALSE,1,FALSE,"Fake Don't Recommand"
"360",18797,FALSE,2,FALSE,"Fake Don't Recommand"
"361",18808,FALSE,3,FALSE,"Fake Don't Recommand"
"362",20059,FALSE,5,FALSE,"Fake Don't Recommand"
